"Código Dane departamento","Departamento","Código Dane municipio","Municipio","Grupo cultivo","Subgrupo","Cultivo","Desagregación cultivo","Año","Periodo","Área sembrada","Área cosechada","Producción","Rendimiento","Ciclo del cultivo","Estado físico del cultivo","Código del cultivo","Nombre científico del cultivo"
"25","Cundinamarca","25183","Chocontá","Frutales","Demás frutales","Agraz - mortiño","Agraz - mortiño","2019","2019","10,00","8,00","104,00","13,00","Permanente","En fresco","2040100","Vaccinium meridionale"
"25","Cundinamarca","25183","Chocontá","Frutales","Demás frutales","Agraz - mortiño","Agraz - mortiño","2020","2020","19,00","10,00","130,00","13,00","Permanente","En fresco","2040100","Vaccinium meridionale"
"25","Cundinamarca","25183","Chocontá","Frutales","Demás frutales","Agraz - mortiño","Agraz - mortiño","2021","2021","21,00","17,00","204,00","12,00","Permanente","En fresco","2040100","Vaccinium meridionale"
"25","Cundinamarca","25183","Chocontá","Frutales","Demás frutales","Agraz - mortiño","Agraz - mortiño","2022","2022","25,00","20,00","30,00","1,50","Permanente","En fresco","2040100","Vaccinium meridionale"
"25","Cundinamarca","25183","Chocontá","Frutales","Demás frutales","Arándano","Arándano","2023","2023","18,00","0,00","0,00","0,00","Permanente","En fresco","2040400","Vaccinium corymbosum"
"25","Cundinamarca","25183","Chocontá","Frutales","Demás frutales","Arándano","Arándano","2024","2024","20,00","18,00","72,00","4,00","Permanente","En fresco","2040400","Vaccinium corymbosum"
"25","Cundinamarca","25183","Chocontá","Leguminosas","Leguminosas","Arveja","Arveja","2019","2019A","225,00","220,00","719,63","3,27","Transitorio","Grano","1060100","Pisum sativum"
"25","Cundinamarca","25183","Chocontá","Leguminosas","Leguminosas","Arveja","Arveja","2019","2019B","181,00","172,00","562,62","3,27","Transitorio","Grano","1060100","Pisum sativum"
"25","Cundinamarca","25183","Chocontá","Leguminosas","Leguminosas","Arveja","Arveja","2020","2020A","225,00","220,00","719,63","3,27","Transitorio","Grano","1060100","Pisum sativum"
"25","Cundinamarca","25183","Chocontá","Leguminosas","Leguminosas","Arveja","Arveja","2020","2020B","181,00","172,00","562,62","3,27","Transitorio","Grano","1060100","Pisum sativum"
